-------------- Test -------------
          Loss:  1.317 | Acc:  61.223 % | AUC:0.5
         1: Precision: 0.4551443790299972 | recall: 0.5411666666666667 | f1 score: 0.494441906502208
         2: Precision: 0.6245306633291614 | recall: 0.7485 | f1 score: 0.6809188082783717
         3: Precision: 0.6638246041412911 | recall: 0.7266666666666667 | f1 score: 0.6938255887969446
         4: Precision: 0.5213038416763679 | recall: 0.37316666666666665 | f1 score: 0.4349684312773191
         5: Precision: 0.6622765757290687 | recall: 0.8213333333333334 | f1 score: 0.7332787739007515
         6: Precision: 0.7788962789861585 | recall: 0.7221666666666666 | f1 score: 0.7494594828331749
         7: Precision: 0.6983339241403758 | recall: 0.3283333333333333 | f1 score: 0.4466613762611949
         8: Precision: 0.48393331722638316 | recall: 0.6676666666666666 | f1 score: 0.5611430172293038
         9: Precision: 0.7 | recall: 0.543757292882147 | f1 score: 0.6120649216624449
         10: Precision: 0.6443452380952381 | recall: 0.6495 | f1 score: 0.6469123505976095
         macro avg: Precision: 0.6232588822354043 | recall: 0.6122257292882147 | f1 score: 0.6053674657339323     
         weighted avg: Precision: 0.6232576031954574 | recall: 0.6122268704478407 | f1 score: 0.6053673541078065
